,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
26,Gurupi,74,BR,1587401302,67,-11.73,-49.07,83.35,3.38
27,Milagres,99,BR,1587401302,66,-7.31,-38.95,82.02,4.14
28,Busselton,19,AU,1587401167,62,-33.65,115.33,63.0,10.83
29,Ribeira Grande,20,PT,1587401070,63,38.52,-28.7,62.6,10.29
30,Karasjok,100,NO,1587401303,52,69.47,25.51,41.0,44.96
31,Rikitea,10,PF,1587401304,76,-23.12,-134.97,75.94,4.94
32,Husavik,40,IS,1587401304,54,66.04,-17.34,55.4,17.22
33,Wukari,95,NG,1587401304,35,7.85,9.78,91.06,4.97
34,Roald,0,NO,1587401305,71,62.58,6.13,54.0,9.17
35,Izhma,22,RU,1587401305,95,65.01,53.91,32.32,4.79
36,Dalian,21,CN,1587401305,49,38.91,121.6,48.2,13.42
37,Port Lincoln,26,AU,1587401263,77,-34.73,135.87,59.11,11.79
38,Pyatigorskiy,76,RU,1587401306,51,43.97,43.26,60.8,15.66
39,Los Llanos de Aridane,40,ES,1587401306,64,28.66,-17.92,71.6,14.99
40,Tiksi,100,RU,1587401307,95,71.69,128.87,22.21,4.52
41,Baruun-Urt,10,MN,1587401307,67,46.68,113.28,20.41,12.39
42,Airai,1,TL,1587401307,71,-8.93,125.41,61.07,2.48
43,Ushuaia,75,AR,1587401022,75,-54.8,-68.3,44.6,19.46
44,Kruisfontein,7,ZA,1587401071,71,-34.0,24.73,62.31,10.27
45,Kemin,3,KG,1587401308,36,42.78,75.69,54.55,2.39
46,Poum,46,NC,1587401309,85,-20.23,164.02,77.81,15.84
47,George Town,40,MY,1587401273,94,5.41,100.34,82.4,2.24
48,San Andrés,20,CO,1587401309,62,12.58,-81.7,87.8,8.05
49,Castro,0,BR,1587401099,30,-24.79,-50.01,74.57,2.1
50,Luchegorsk,100,RU,1587401310,92,46.48,134.26,37.33,8.9
51,Cairns,75,AU,1587401117,88,-16.92,145.77,78.8,3.36
52,Burley,1,US,1587401145,40,42.54,-113.79,53.6,5.82
53,Dingle,37,PH,1587401087,83,11.0,122.67,79.75,8.34
54,Nanortalik,0,GL,1587401311,86,60.14,-45.24,31.6,7.7
55,Hobart,75,AU,1587401126,57,-42.88,147.33,52.0,9.17
56,Ponta do Sol,8,PT,1587401029,41,32.67,-17.1,66.0,5.99
57,Tulangan,93,ID,1587401312,80,-7.49,112.66,79.74,3.83
58,Lethem,70,GY,1587401313,47,3.38,-59.8,91.56,11.63
59,Hilo,20,US,1587401313,68,19.73,-155.09,68.0,6.93
60,Butaritari,97,KI,1587401313,78,3.07,172.79,82.4,11.77
61,Neryungri,77,RU,1587401314,84,56.67,124.65,7.68,10.2
62,Juneau,90,US,1587401050,81,58.3,-134.42,45.0,3.36
63,New Norfolk,42,AU,1587401314,80,-42.78,147.06,52.0,4.0
64,Atuona,27,PF,1587401315,71,-9.8,-139.03,82.29,13.73
65,Longyearbyen,40,SJ,1587401315,62,78.22,15.64,23.0,25.28
66,Takapau,100,NZ,1587401315,90,-40.03,176.35,55.99,4.0
67,Fukuechō,86,JP,1587401316,69,32.69,128.84,58.44,18.05
68,Jamestown,1,US,1587401316,52,42.1,-79.24,46.0,4.52
69,Norman Wells,90,CA,1587401316,92,65.28,-126.83,28.4,4.7
70,Port Blair,6,IN,1587401317,73,11.67,92.75,84.18,7.81
71,Upernavik,95,GL,1587401317,92,72.79,-56.15,30.0,8.5
72,Nkhata Bay,10,MW,1587401317,61,-11.61,34.29,74.52,4.41
73,Blytheville,5,US,1587401154,48,35.93,-89.92,64.4,5.82
74,Arraial do Cabo,20,BR,1587401318,65,-22.97,-42.03,78.8,13.87
75,Mahébourg,75,MU,1587401084,78,-20.41,57.7,77.0,12.75
76,Channel-Port aux Basques,56,CA,1587401319,92,47.57,-59.14,32.94,7.16
77,Saint-Philippe,65,RE,1587401081,69,-21.36,55.77,77.0,16.11
78,Katsuura,75,JP,1587401319,87,35.13,140.3,53.6,6.93
79,Cidreira,0,BR,1587401089,62,-30.18,-50.21,74.8,6.46
80,Moose Factory,20,CA,1587401320,95,51.26,-80.61,32.0,18.34
81,Qaanaaq,97,GL,1587401031,85,77.48,-69.36,12.51,10.22
82,Lata,96,PT,1587401321,88,40.16,-8.33,55.99,4.0
83,Bubaque,1,GW,1587401321,70,11.28,-15.83,78.57,14.07
84,Isangel,96,VU,1587401321,82,-19.55,169.27,79.34,4.68
85,Virginia Beach,90,US,1587401321,93,36.85,-75.98,55.99,14.99
86,Hong Kong,20,HK,1587401018,78,22.29,114.16,78.8,10.29
87,Cape Town,75,ZA,1587401303,93,-33.93,18.42,62.01,6.93
88,Hacarí,68,CO,1587401322,48,8.32,-73.15,80.35,1.86
89,Wokha,100,IN,1587401323,65,26.1,94.27,55.6,1.19
90,Port Elizabeth,6,ZA,1587401072,77,-33.92,25.57,66.2,9.17
91,Sakon Nakhon,10,TH,1587401323,70,17.16,104.15,86.0,3.76
92,Codrington,76,AU,1587401096,76,-38.27,141.97,53.22,13.24
93,Touros,75,BR,1587401324,74,-5.2,-35.46,86.0,16.11
94,Sādri,87,IN,1587401324,27,25.18,73.43,82.81,3.38
95,Asău,19,RO,1587401325,27,46.43,26.4,54.0,9.17
96,Wexford,12,IE,1587401325,50,52.33,-6.46,57.99,18.34
97,Aksarka,100,RU,1587401122,95,66.56,67.8,33.08,11.48
98,Yellowknife,40,CA,1587401289,56,62.46,-114.35,12.2,14.99
99,Lorengau,66,PG,1587401326,75,-2.02,147.27,81.91,1.9
100,Dudinka,90,RU,1587401326,95,69.41,86.18,32.0,20.13
101,Seoul,1,KR,1587401026,61,37.57,126.98,48.2,11.03
102,Isabela,99,PH,1587401327,79,6.71,121.97,80.13,2.44
103,Barcelos,75,PT,1587401327,87,41.54,-8.62,55.4,11.41
104,Araouane,0,ML,1587401328,10,18.9,-3.53,90.57,9.33
105,Galveston,90,US,1587401236,83,29.37,-94.97,73.0,4.7
106,Tromsø,40,NO,1587401111,75,69.65,18.96,41.0,26.4
107,Bambous Virieux,75,MU,1587401329,78,-20.34,57.76,77.0,12.75
108,Noboribetsu,75,JP,1587401329,100,42.45,141.17,48.99,24.16
109,Half Moon Bay,90,US,1587401085,71,37.46,-122.43,57.99,8.05
110,Lebu,45,CL,1587401330,57,-37.62,-73.65,61.21,16.04
111,Fortuna,90,US,1587401330,87,40.6,-124.16,54.0,4.7
112,Portland,1,US,1587401087,71,45.52,-122.68,55.99,1.34
113,Léo,93,BF,1587401331,47,11.1,-2.1,86.27,8.05
114,Hernani,20,ES,1587401331,87,43.27,-1.98,61.0,4.7
115,Same,54,TZ,1587401331,70,-4.07,37.73,69.94,6.22
116,Porto Velho,40,BR,1587401219,74,-8.76,-63.9,84.2,3.36
117,Zapadnaya Dvina,76,RU,1587401332,79,56.26,32.07,35.89,5.61
118,Mossamedes,44,AO,1587401333,72,-15.2,12.15,77.38,8.55
119,San Patricio,90,MX,1587401333,73,19.22,-104.7,71.6,5.28
120,San Carlos,62,VE,1587401333,43,9.66,-68.58,90.93,5.5
121,Te Anau,72,NZ,1587401334,75,-45.42,167.72,46.38,2.59
122,Gongzhuling,10,CN,1587401334,82,43.5,124.82,29.57,17.36
123,Mar del Plata,63,AR,1587401290,64,-38.0,-57.56,75.2,6.93
124,Port Alfred,24,ZA,1587401335,91,-33.59,26.89,66.99,14.14
125,Tasiilaq,75,GL,1587401335,92,65.61,-37.64,33.8,1.12
126,Saint George,1,US,1587401036,58,37.1,-113.58,64.99,3.36
127,Waingapu,69,ID,1587401336,81,-9.66,120.26,78.48,7.76
128,Leningradskiy,81,RU,1587401336,90,69.38,178.42,4.91,6.62
129,Kingaroy,49,AU,1587401337,93,-26.53,151.83,48.2,3.24
130,Alyangula,0,AU,1587401337,100,-13.85,136.42,71.6,6.33
131,Lagoa,97,PT,1587401021,61,39.05,-27.98,58.46,7.2
132,Chumikan,100,RU,1587401338,95,54.72,135.31,21.22,12.24
133,Itoman,75,JP,1587401338,82,26.12,127.67,68.0,3.36
134,Bethel,1,US,1587401338,45,41.37,-73.41,52.0,10.29
135,Mama,27,RU,1587401339,88,58.31,112.9,18.01,0.58
136,Saint-Joseph,63,RE,1587401339,69,-21.37,55.62,77.0,16.11
137,Severo-Kuril'sk,34,RU,1587401339,91,50.68,156.12,29.03,8.1
138,Novyy Buyan,40,RU,1587401340,37,53.69,50.05,51.8,6.71
139,Vallenar,2,CL,1587401127,31,-28.57,-70.76,79.97,9.35
140,Ancud,20,CL,1587401340,62,-41.87,-73.82,53.6,6.93
141,Hithadhoo,8,MV,1587401023,72,-0.6,73.08,84.92,9.95
142,Ormara,0,PK,1587401341,65,25.21,64.64,81.75,9.55
143,Esperance,0,AU,1587401341,67,-33.87,121.9,60.8,13.87
144,Kavieng,28,PG,1587401342,74,-2.57,150.8,83.48,3.71
145,Kosonsoy,3,UZ,1587401342,45,41.26,71.55,64.4,6.93
146,Grindavik,90,IS,1587401086,100,63.84,-22.43,46.4,28.86
147,Khatanga,69,RU,1587401343,94,71.97,102.5,24.44,8.37
148,Palmer,90,US,1587401343,36,42.16,-72.33,50.0,6.93
149,Hofn,90,IS,1587401344,81,64.25,-15.21,48.2,4.7
150,Petropavlovsk-Kamchatskiy,34,RU,1587401344,54,53.05,158.65,30.2,6.71
151,Paita,89,PE,1587401344,58,-5.09,-81.11,84.2,19.46
152,Tirumullaivāsal,26,IN,1587401345,78,11.23,79.83,82.56,8.81
153,Penzance,92,GB,1587401345,54,50.12,-5.54,62.6,13.87
154,Saskylakh,15,RU,1587401345,97,71.92,114.08,19.56,9.24
155,Vardø,40,NO,1587401346,64,70.37,31.11,37.4,27.51
156,Vega de Alatorre,1,MX,1587401346,68,20.03,-96.63,85.14,9.06
157,Sabang,92,ID,1587401346,78,5.89,95.32,84.06,9.73
158,Jiaojiang,75,CN,1587401347,92,28.68,121.44,61.0,1.01
159,Okato,98,NZ,1587401347,97,-39.2,173.88,51.01,1.79
160,Cincu,55,RO,1587401348,47,45.92,24.8,59.0,5.82
161,Tuatapere,60,NZ,1587401348,95,-46.13,167.68,42.01,3.98
162,Pochutla,40,MX,1587401348,55,15.74,-96.47,89.01,13.87
163,Sandy Bay,75,AU,1587401349,57,-42.91,147.35,52.0,9.17
164,Borovskoy,100,KZ,1587401349,91,53.8,64.15,44.38,4.92
165,Peniche,58,PT,1587401349,75,39.36,-9.38,61.0,17.0
166,Juegang,100,CN,1587401350,83,32.32,121.19,53.01,1.01
167,Erzin,76,TR,1587401350,34,36.96,36.2,75.0,1.74
168,Terrace,90,CA,1587401351,87,54.52,-128.6,44.6,3.62
169,Klaksvík,0,FO,1587401351,76,62.23,-6.59,50.0,8.05
170,Kiunga,74,PG,1587401352,96,-6.12,141.29,72.93,1.5
171,Mehamn,40,NO,1587401352,64,71.04,27.85,37.4,24.16
172,Riyadh,90,SA,1587401074,47,24.69,46.72,80.6,6.93
173,Kirakira,64,SB,1587401353,79,-10.45,161.92,79.32,4.5
174,‘Ewa Beach,1,US,1587401353,88,21.32,-158.01,73.4,3.36
175,Borovichi,53,RU,1587401353,79,58.39,33.92,37.22,5.64
176,Nchelenge,15,ZM,1587401354,61,-9.35,28.73,71.46,6.55
177,Deputatsky,99,RU,1587401354,90,69.3,139.9,9.7,4.92
178,Havelock,90,US,1587401093,82,34.88,-76.9,64.4,8.05
179,Tiznit Province,0,MA,1587401355,52,29.58,-9.5,60.12,12.21
180,Clyde River,75,CA,1587401075,77,70.47,-68.59,1.4,3.6
181,Shitanjing,59,CN,1587401355,12,39.23,106.34,45.0,3.0
182,Tsabong,16,BW,1587401356,19,-26.02,22.4,79.97,6.44
183,Beyneu,3,KZ,1587401356,39,45.32,55.2,70.59,9.73
184,Caravelas,36,BR,1587401357,73,-17.71,-39.25,78.89,13.87
185,Yangi Marg`ilon,8,UZ,1587401357,45,40.43,71.72,64.4,6.93
186,Havøysund,40,NO,1587401357,64,71.0,24.66,39.2,32.21
187,Auki,77,SB,1587401358,77,-8.77,160.7,81.07,5.79
188,Krasnyy Kholm,70,RU,1587401358,78,58.06,37.12,36.1,5.48
189,Laguna,90,US,1587401083,71,38.42,-121.42,55.99,4.7
190,Roebourne,65,AU,1587401359,67,-20.78,117.13,80.92,8.99
191,Bama,42,NG,1587401359,10,11.52,13.69,93.27,9.31
192,Geraldton,0,AU,1587401359,76,-28.77,114.6,57.2,5.82
193,Alofi,20,NU,1587401360,94,-19.06,-169.92,71.6,2.24
194,Ahipara,100,NZ,1587401360,91,-35.17,173.17,63.55,5.32
195,Saint Paul Harbor,90,US,1587401361,87,57.79,-152.41,42.8,5.82
196,Marzuq,83,YE,1587401361,56,14.4,46.47,70.45,12.33
197,Dikson,100,RU,1587401361,97,73.51,80.55,31.71,22.28
198,Bataiporã,41,BR,1587401362,52,-22.3,-53.27,81.46,3.6
199,Maridi,53,SS,1587401362,63,4.92,29.47,71.47,4.27
200,Vangaindrano,17,MG,1587401362,90,-23.35,47.6,71.02,4.25
201,Grand-Lahou,50,CI,1587401363,81,5.14,-5.02,83.03,9.35
202,Chokurdakh,100,RU,1587401363,97,70.63,147.92,15.48,6.85
203,Hunterville,99,NZ,1587401363,88,-39.93,175.57,55.99,1.99
204,Yushu,74,CN,1587401364,92,44.8,126.53,28.22,15.48
205,Kasane,76,BW,1587401364,36,-17.82,25.15,77.0,4.7
206,Graulhet,100,FR,1587401364,93,43.77,1.99,62.6,9.17
207,Kutum,72,SD,1587401365,13,14.2,24.67,74.05,4.5
208,Choya,0,RU,1587401365,54,52.01,86.55,47.07,2.08
209,Pozo Colorado,0,PY,1587401366,24,-23.49,-58.8,95.04,0.98
210,Cherskiy,87,RU,1587401366,95,68.75,161.3,4.6,6.35
211,Grants,90,US,1587401366,33,35.15,-107.85,57.2,10.29
212,Great Falls,1,US,1587401171,37,47.5,-111.3,57.0,11.41
213,Isil'kul',96,RU,1587401367,41,54.91,71.27,61.7,18.79
214,Lázaro Cárdenas,38,MX,1587401367,57,17.96,-102.2,83.86,8.52
215,Kushima,72,JP,1587401368,87,31.46,131.23,53.01,8.01
216,Hoi An,40,VN,1587401368,88,15.88,108.33,80.6,3.36
217,Qaqortoq,20,GL,1587401368,31,60.72,-46.03,35.6,3.36
218,High Prairie,93,CA,1587401369,69,55.43,-116.49,48.25,6.82
219,Batī,80,ET,1587401369,50,11.18,40.02,67.68,4.99
220,Pauini,63,BR,1587401370,49,-7.71,-66.98,90.14,2.44
221,Gagnoa,77,CI,1587401370,60,6.13,-5.94,85.32,4.85
222,Tynda,98,RU,1587401370,77,55.17,124.72,17.17,13.89
223,Pemba,75,MZ,1587401103,83,-12.97,40.52,82.4,19.46
224,Constitución,96,CL,1587401371,40,-35.33,-72.42,69.03,15.12
225,Rizhao,100,CN,1587401372,45,35.43,119.46,50.59,8.79
226,Souillac,75,MU,1587401372,78,-20.52,57.52,77.0,12.75
227,Misrikh,85,IN,1587401372,23,27.45,80.52,84.49,10.2
228,Sur,16,OM,1587401373,58,22.57,59.53,83.73,2.77
229,Edéa,75,CM,1587401373,83,3.8,10.13,82.4,3.36
230,Navolato,5,MX,1587401373,61,24.77,-107.69,82.0,7.18
231,Tual,50,ID,1587401374,77,-5.67,132.75,83.62,7.14
232,Våler,0,NO,1587401374,28,60.68,11.83,64.99,4.0
233,Ţahţā,6,EG,1587401089,25,26.77,31.5,87.8,12.75
234,Isla Mujeres,75,MX,1587401375,66,21.23,-86.73,87.8,20.8
235,Narsaq,20,GL,1587401174,31,60.92,-46.05,35.6,3.36
236,Puerto del Rosario,20,ES,1587401375,44,28.5,-13.86,77.0,13.87
237,Acapulco de Juárez,5,MX,1587401238,74,16.86,-99.89,82.4,5.82
238,Ambon City,98,ID,1587401376,77,-3.7,128.18,81.55,2.64
239,Nurota,0,UZ,1587401376,63,40.56,65.69,60.8,6.93
240,Bakchar,16,RU,1587401377,85,57.02,82.07,47.28,4.18
241,Rey Bouba,100,CM,1587401377,43,8.67,14.18,86.77,1.95
242,Capreol,75,CA,1587401136,44,46.71,-80.92,39.99,21.92
243,Noumea,40,NC,1587401378,100,-22.28,166.46,75.99,2.24
244,Salalah,75,OM,1587401083,70,17.02,54.09,84.2,6.93
245,Samarinda,46,ID,1587401132,91,-0.5,117.15,74.16,2.93
246,Russell,75,US,1587401379,64,32.35,-85.2,73.99,11.41
247,Äänekoski,75,FI,1587401379,61,62.69,25.82,46.99,9.17
248,Tuktoyaktuk,90,CA,1587401380,84,69.45,-133.04,8.6,6.93
249,Tutóia,40,BR,1587401380,62,-2.76,-42.27,89.6,9.17
250,Angra dos Reis,40,BR,1587401381,57,-23.01,-44.32,80.6,6.93
251,Talnakh,90,RU,1587401381,92,69.49,88.4,32.0,20.13
252,Paracuru,78,BR,1587401310,74,-3.41,-39.03,84.99,18.99
253,Creel,99,MX,1587401382,10,27.75,-107.63,66.51,12.71
254,Makkah al Mukarramah,0,SA,1587401124,41,21.43,39.83,79.54,0.78
255,Samarai,72,PG,1587401382,81,-10.62,150.67,80.06,7.99
256,Hasaki,75,JP,1587401383,100,35.73,140.83,54.0,3.36
257,Porto-Novo,20,BJ,1587401383,74,6.5,2.6,87.8,13.87
258,Warmbad,39,NA,1587401384,20,-28.45,18.73,74.86,9.66
259,Alugan,82,PH,1587401384,85,12.22,125.48,81.14,11.56
260,Bogotol,31,RU,1587401384,58,56.21,89.53,41.14,5.21
261,Bengkulu,89,ID,1587401166,82,-3.8,102.27,78.67,3.58
262,Cabedelo,40,BR,1587401038,74,-6.98,-34.83,86.0,12.75
263,Teguise,20,ES,1587401385,50,29.06,-13.56,75.2,13.87
264,Balaipungut,61,ID,1587401386,90,1.05,101.28,75.51,0.69
265,Le Port,72,RE,1587401386,65,-20.94,55.29,77.0,17.22
266,Baharly,2,TM,1587401387,25,38.44,57.43,76.64,8.9
267,Raja,90,SS,1587401387,33,8.46,25.68,83.16,3.87
268,Rocha,0,UY,1587401388,49,-34.48,-54.33,79.0,5.84
269,Detva,0,SK,1587401388,29,48.56,19.42,60.8,4.7
270,Gambēla,80,ET,1587401388,33,8.25,34.58,87.42,2.66
271,Saposoa,20,PE,1587401389,69,-6.93,-76.77,82.4,3.06
272,São Filipe,2,CV,1587401389,77,14.9,-24.5,71.94,18.37
273,Kumul,51,CN,1587401390,20,42.8,93.45,58.86,4.12
274,Plettenberg Bay,33,ZA,1587401390,73,-34.05,23.37,64.74,8.59
275,Belmonte,75,BR,1587401120,61,-15.86,-38.88,80.6,10.29
276,Ingham,1,US,1587401391,34,42.6,-84.38,54.0,10.29
277,Gouyave,75,GD,1587401391,74,12.16,-61.73,80.6,13.87
278,Ko Samui,0,TH,1587401391,75,9.54,99.94,84.56,10.74
279,Vao,91,NC,1587401392,81,-22.67,167.48,75.7,9.73
280,Shelburne,20,CA,1587401392,45,44.08,-80.2,45.0,13.87
281,Florø,0,NO,1587401392,54,61.6,5.03,55.4,4.7
282,Uetze,0,DE,1587401393,26,52.47,10.2,61.0,20.8
283,Torbay,90,CA,1587401393,86,47.67,-52.73,39.99,33.33
284,Salinas,90,US,1587401393,82,36.68,-121.66,57.2,5.82
285,Naze,2,JP,1587401394,77,28.37,129.48,64.4,5.82
286,Erlenbach,1,DE,1587401394,49,49.17,9.27,64.99,20.8
287,Moree,92,AU,1587401394,58,-29.47,149.85,57.2,1.12
288,Port Hardy,90,CA,1587401395,87,50.7,-127.42,48.2,3.78
289,Puerto Nariño,75,CO,1587401395,79,-3.77,-70.38,84.2,5.82
290,Waidhofen,20,DE,1587401395,55,48.58,11.33,62.6,14.99
291,Orlik,0,RU,1587401396,54,52.52,99.83,26.13,0.38
292,Beloha,8,MG,1587401396,73,-25.17,45.05,71.28,17.07
293,Along,88,IN,1587401396,68,28.17,94.77,63.82,3.4
294,Flinders,91,AU,1587401397,73,-34.58,150.86,59.0,1.99
295,Pascagoula,40,US,1587401397,68,30.37,-88.56,71.6,8.05
296,Atar,0,MR,1587401397,11,20.52,-13.05,89.37,13.58
297,Sinnamary,100,GF,1587401398,82,5.38,-52.95,79.81,9.24
298,Faanui,99,PF,1587401398,77,-16.48,-151.75,81.86,21.47
299,Coquimbo,90,CL,1587401399,93,-29.95,-71.34,59.0,6.93
300,Chauk,10,MM,1587401399,40,20.88,94.82,87.03,6.78
301,Harbour Breton,5,CA,1587401399,86,47.48,-55.8,34.92,21.56
302,Thinadhoo,59,MV,1587401400,75,0.53,72.93,84.92,8.95
303,Arrondissement d'Arcachon,75,FR,1587401400,72,44.59,-1.05,64.0,6.93
304,Saldanha,100,ZA,1587401303,82,-33.01,17.94,62.6,6.93
305,Praia da Vitória,40,PT,1587401401,63,38.73,-27.07,60.8,6.17
306,Chino Valley,1,US,1587401401,35,34.76,-112.45,64.99,6.93
307,Luocheng,100,CN,1587401401,61,29.38,104.03,61.54,5.48
308,Kargopol',89,RU,1587401402,89,61.51,38.95,33.1,2.71
309,Aklavik,90,CA,1587401402,78,68.22,-135.01,10.4,5.82
310,Chimbote,8,PE,1587401402,62,-9.09,-78.58,77.52,12.86
311,Gunnedah,90,AU,1587401403,93,-30.98,150.25,51.8,5.82
312,Carnarvon,0,AU,1587401403,73,-24.87,113.63,71.6,16.11
313,Arrecife,20,ES,1587401403,50,28.96,-13.55,75.2,13.87
314,Verkh-Chebula,0,RU,1587401404,59,56.03,87.62,47.16,0.89
315,Stornoway,0,GB,1587401404,58,58.21,-6.39,60.01,11.41
316,Chui,0,UY,1587401404,52,-33.7,-53.46,77.13,3.44
317,Prince Rupert,90,CA,1587401272,80,54.32,-130.32,48.2,8.05
318,Zhigansk,98,RU,1587401405,95,66.77,123.37,19.6,5.93
319,Posse,86,BR,1587401405,56,-14.09,-46.37,79.81,3.0
320,Gilgit,83,PK,1587401128,23,35.92,74.31,53.35,2.04
321,Rio Grande,0,BR,1587401398,42,-32.03,-52.1,84.2,3.36
322,Port Hawkesbury,75,CA,1587401406,58,45.62,-61.35,57.0,10.29
323,Gumdag,0,TM,1587401407,32,39.21,54.59,74.89,2.48
324,Adrar,0,MR,1587401407,12,20.5,-10.07,85.15,12.73
325,Shalakusha,94,RU,1587401407,93,62.22,40.25,32.5,1.9
326,Río Tercero,0,AR,1587401407,27,-32.17,-64.11,85.42,3.51
327,Opuwo,19,NA,1587401408,32,-18.06,13.84,76.08,5.79
328,Ilulissat,75,GL,1587401408,82,69.22,-51.1,32.0,13.87
329,Guerrero Negro,88,MX,1587401408,60,27.98,-114.06,65.62,18.25
330,Saint Anthony,40,US,1587401409,57,45.02,-93.22,54.0,18.34
331,Yaan,83,NG,1587401409,44,7.38,8.57,89.47,5.57
332,Ust-Tsilma,91,RU,1587401410,93,65.44,52.15,32.97,5.46
333,Raudeberg,0,NO,1587401410,54,61.99,5.14,60.8,4.7
334,Margate,0,GB,1587401410,42,51.38,1.39,55.99,14.0
335,Havre-St-Pierre,90,CA,1587401330,94,50.23,-63.6,32.0,3.36
336,Lompoc,90,US,1587401411,87,34.64,-120.46,55.4,4.7
337,Zliten,5,LY,1587401411,56,32.47,14.57,71.58,6.76
338,Afuá,100,BR,1587401157,93,-0.16,-50.39,76.78,4.52
339,Garden City,1,US,1587401353,45,42.33,-83.33,51.01,11.41
340,Mersing,96,MY,1587401412,83,2.43,103.84,84.2,5.82
341,Farah,100,AF,1587401413,22,32.5,62.5,69.1,4.16
342,Ayna,40,PE,1587401413,39,-12.65,-73.92,66.2,3.36
343,Bonavista,100,CA,1587401413,96,48.65,-53.11,34.56,20.94
344,Bria,53,CF,1587401414,68,6.54,21.99,74.61,2.44
345,Fairlie,0,GB,1587401414,44,55.76,-4.86,59.0,20.8
346,Senador José Porfírio,100,BR,1587401414,83,-2.59,-51.95,78.42,0.27
347,Lavaltrie,0,CA,1587401414,25,45.88,-73.28,44.01,1.99
348,Sechura,91,PE,1587401415,61,-5.56,-80.82,78.55,11.03
349,Kendari,64,ID,1587401415,85,-3.94,122.5,76.44,3.15
350,Rochester,40,US,1587400987,45,43.15,-77.62,43.0,3.36
351,Talara,85,PE,1587401416,58,-4.58,-81.27,84.2,19.46
352,Buta,30,CD,1587401416,78,2.79,24.73,73.24,2.06
353,Ialibu,75,PG,1587401417,51,-6.28,143.99,52.0,2.3
354,Tarata,40,BO,1587401417,35,-17.62,-66.02,69.8,4.7
355,Imbituba,0,BR,1587401417,57,-28.24,-48.67,78.8,10.29
356,São José da Coroa Grande,11,BR,1587401418,75,-8.9,-35.15,83.05,11.63
357,Ayagoz,0,KZ,1587401418,43,47.97,80.44,51.96,13.22
358,Vestmannaeyjar,90,IS,1587401419,93,63.44,-20.27,46.4,20.8
359,Katherine,1,AU,1587401419,48,-14.47,132.27,82.4,8.05
360,Taltal,9,CL,1587401419,57,-25.4,-70.48,70.95,5.1
361,Aswān,0,EG,1587401420,18,24.09,32.91,89.6,12.75
362,Calvinia,22,ZA,1587401420,28,-31.47,19.78,61.32,8.72
363,Vila Franca do Campo,20,PT,1587401420,59,37.72,-25.43,60.8,6.93
364,Harstad,99,NO,1587401421,80,68.8,16.53,41.0,25.28
365,Eyl,54,SO,1587401421,75,7.98,49.82,84.6,14.16
366,Carutapera,94,BR,1587401421,83,-1.2,-46.02,82.35,9.19
367,Hambantota,51,LK,1587401422,81,6.12,81.12,82.83,12.71
368,Vila Velha,75,BR,1587401327,65,-20.33,-40.29,78.8,13.87
369,Santa Maria,0,BR,1587401422,32,-29.68,-53.81,83.93,1.83
370,Moranbah,1,AU,1587401291,88,-22.0,148.05,68.86,8.52
371,Harper,89,LR,1587401423,74,4.38,-7.72,83.17,6.46
372,Arrondissement de Brive-la-Gaillarde,100,FR,1587401423,93,45.25,1.5,60.01,1.01
373,Hobyo,85,SO,1587401424,68,5.35,48.53,85.78,12.57
